food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
27113000,Beef with cream or white sauce,Meat mixed dishes,185,22.5,2.75,1.38,0.0,9.31,3.773,3.437,0.664,70
27113100,Beef stroganoff,Meat mixed dishes,150,10.06,6.21,1.36,0.7,9.33,3.441,2.836,1.944,35
27113200,Creamed chipped or dried beef,Meat mixed dishes,133,7.65,7.57,4.58,0.1,8.05,2.32,3.348,1.857,19
27113300,Swedish meatballs with cream or white sauce,Meat mixed dishes,170,12.48,6.29,2.46,0.2,10.3,4.535,3.965,0.495,64
27114000,Beef with mushroom sauce,Meat mixed dishes,163,21.97,1.83,0.56,0.1,7.54,2.695,2.961,0.84,64
27115000,Beef with soy-based sauce,Stir-fry and soy-based sauce mixtures,187,15.86,3.35,1.05,0.5,12.38,2.736,5.232,3.259,43
27115100,Steak teriyaki,Stir-fry and soy-based sauce mixtures,198,28.86,1.94,1.76,0.0,8.25,3.13,3.517,0.336,82
27116100,Beef curry,Meat mixed dishes,113,7.57,6.53,2.56,1.4,6.57,1.794,2.574,1.809,20
27116110,Beef curry with rice,Meat mixed dishes,119,5.61,15.12,1.56,1.0,4.05,1.107,1.579,1.116,12
27116200,"Barbecue beef, with sauce",Meat mixed dishes,228,19.83,12.23,9.97,0.3,10.79,4.138,4.925,0.431,67
27116210,"Barbecue beef, no sauce","Beef, excludes ground",252,27.97,0.0,0.0,0.0,15.15,5.892,7.001,0.573,95
27116300,Beef with sweet and sour sauce,Stir-fry and soy-based sauce mixtures,211,9.29,14.22,8.42,0.6,12.81,3.075,5.323,3.084,29
27116350,"Stewed seasoned ground beef, Mexican style",Meat mixed dishes,169,14.27,1.28,0.41,0.2,11.38,4.325,4.906,0.343,51
27116400,Steak tartare,Meat mixed dishes,216,17.45,0.34,0.08,0.2,15.6,5.796,6.642,0.8,165
27118110,"Meatballs, Puerto Rican style",Meat mixed dishes,225,14.33,6.9,1.69,0.8,15.31,4.22,6.458,2.876,64
27118120,"Stewed seasoned ground beef, Puerto Rican style",Meat mixed dishes,278,13.75,3.83,1.75,0.9,22.81,6.2,10.886,3.365,49
27118130,"Stewed dried beef, Puerto Rican style",Meat mixed dishes,258,17.69,3.91,2.54,0.8,19.13,3.356,7.271,7.334,45
27120020,Ham or pork with gravy,Meat mixed dishes,160,20.15,1.58,0.09,0.0,7.49,2.636,3.316,0.651,58
27120030,"Barbecue pork, with sauce",Meat mixed dishes,226,17.57,12.23,9.97,0.3,11.3,3.981,4.937,1.715,64
27120040,"Barbecue pork, no sauce",Pork,249,24.75,0.0,0.0,0.0,15.87,5.668,7.017,2.406,91
