food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
52202060,"Cornbread, made from home recipe","Biscuits, muffins, quick breads",287,6.55,42.87,6.85,1.5,9.8,1.865,3.707,3.272,39
52204000,Cornbread stuffing,Turnovers and other grain-based items,179,2.9,21.9,0.0,2.9,8.8,1.755,3.856,2.706,0
52206010,"Cornbread muffin, stick, round","Biscuits, muffins, quick breads",305,5.9,51.0,17.78,3.4,8.4,1.354,2.104,3.215,26
52206060,"Cornbread muffin, stick, round, made from home recipe","Biscuits, muffins, quick breads",307,7.02,45.94,7.34,1.6,10.51,1.999,3.972,3.506,42
52207010,"Corn flour patty or tart, fried","Biscuits, muffins, quick breads",218,3.98,41.18,5.91,3.0,4.64,0.638,1.27,2.34,0
52208010,"Corn pone, baked","Biscuits, muffins, quick breads",214,3.5,39.68,0.79,1.9,4.31,0.97,1.614,1.378,0
52208020,"Corn pone, fried","Biscuits, muffins, quick breads",254,3.34,37.79,0.76,1.8,9.78,2.342,3.874,2.907,0
52208760,"Gordita/sope shell, plain, no filling",Tortillas,260,3.85,37.2,0.72,2.9,11.19,2.18,4.425,3.839,0
52209010,Hush puppy,"Biscuits, muffins, quick breads",296,6.16,40.21,3.8,2.9,13.25,2.621,7.806,1.762,0
52211010,Johnnycake,"Biscuits, muffins, quick breads",277,7.98,43.82,9.1,1.8,7.46,2.105,2.648,1.871,71
52213010,Spoonbread,"Biscuits, muffins, quick breads",166,6.68,18.55,4.84,0.7,7.06,2.344,2.567,1.421,86
52215000,"Tortilla, NFS",Tortillas,262,6.95,47.01,2.3,4.9,5.42,1.688,1.221,1.854,0
52215100,"Tortilla, corn",Tortillas,218,5.7,44.64,0.88,6.3,2.85,0.453,0.692,1.419,0
52215200,"Tortilla, flour",Tortillas,306,8.2,49.38,3.71,3.5,7.99,2.924,1.751,2.29,0
52215260,"Tortilla, whole wheat",Tortillas,310,9.76,45.89,2.44,9.8,9.76,4.878,3.062,0.992,0
52215300,"Taco shell, corn",Tortillas,476,6.41,63.49,1.5,6.7,21.79,7.105,6.935,5.495,0
52215350,"Taco shell, flour",Tortillas,511,8.83,53.2,4.0,3.8,29.07,8.264,10.317,8.219,0
52220110,Arepa Dominicana,"Biscuits, muffins, quick breads",267,5.66,30.47,3.25,2.4,14.0,9.083,2.457,1.448,53
52301000,"Muffin, NFS","Biscuits, muffins, quick breads",375,4.49,53.0,31.47,1.1,16.07,2.844,4.822,8.103,30
52302010,"Muffin, fruit","Biscuits, muffins, quick breads",375,4.49,53.0,31.47,1.1,16.07,2.844,4.822,8.103,30
52302020,"Muffin, fruit, low fat","Biscuits, muffins, quick breads",255,4.23,50.05,27.05,4.2,4.22,1.549,0.86,1.363,28
52302500,"Muffin, chocolate chip","Biscuits, muffins, quick breads",402,5.77,55.4,32.92,1.8,19.04,5.395,7.256,5.0,45
52302600,"Muffin, chocolate","Biscuits, muffins, quick breads",395,6.54,50.94,25.98,1.9,18.75,4.653,7.176,5.471,51
52303010,"Muffin, whole wheat","Biscuits, muffins, quick breads",372,7.8,44.01,20.09,3.5,18.44,3.058,7.269,6.57,59
52303500,"Muffin, wheat","Biscuits, muffins, quick breads",372,6.92,45.7,19.9,1.8,18.03,2.975,7.17,6.358,59
52304000,"Muffin, whole grain","Biscuits, muffins, quick breads",372,6.92,45.7,19.9,1.8,18.03,2.975,7.17,6.358,59
52304010,"Muffin, wheat bran","Biscuits, muffins, quick breads",208,6.26,38.67,15.2,2.2,5.01,2.231,1.14,0.575,29
52304040,"Muffin, bran with fruit, lowfat","Biscuits, muffins, quick breads",179,5.42,39.99,20.26,2.7,1.5,0.408,0.367,0.399,14
52304100,"Muffin, oatmeal","Biscuits, muffins, quick breads",370,6.43,43.94,20.67,1.5,18.92,3.128,7.57,6.65,61
52304150,"Muffin, oat bran","Biscuits, muffins, quick breads",270,7.0,48.3,8.22,4.6,7.4,1.087,1.695,4.129,0
52306010,"Muffin, plain","Biscuits, muffins, quick breads",374,5.93,52.02,27.48,0.8,16.21,2.671,6.483,5.692,53
52306300,"Muffin, cheese","Biscuits, muffins, quick breads",367,9.72,30.51,1.88,1.0,23.0,5.454,8.457,6.773,74
52306500,"Muffin, pumpkin","Biscuits, muffins, quick breads",305,4.97,43.21,22.59,1.4,12.93,2.154,5.152,4.519,42
52306550,"Muffin, zucchini","Biscuits, muffins, quick breads",306,5.05,42.64,22.72,0.9,13.14,2.173,5.229,4.61,43
52306700,"Muffin, carrot","Biscuits, muffins, quick breads",314,5.01,44.42,23.31,1.4,13.21,2.172,5.256,4.636,43
52311010,Popover,"Biscuits, muffins, quick breads",268,11.05,35.28,4.04,1.1,9.2,4.136,2.329,0.922,150
52401000,"Bread, Boston Brown","Biscuits, muffins, quick breads",274,10.67,47.54,5.73,4.0,4.53,0.697,0.612,1.615,0
52403000,"Bread, nut","Biscuits, muffins, quick breads",403,6.59,49.66,26.01,1.2,20.1,2.933,6.765,8.789,50
52404060,"Bread, pumpkin","Biscuits, muffins, quick breads",305,4.97,43.21,22.59,1.4,12.93,2.154,5.152,4.519,42
52405010,"Bread, fruit","Biscuits, muffins, quick breads",374,6.01,47.34,25.24,1.2,18.1,2.65,6.085,7.909,45
52407000,"Bread, zucchini","Biscuits, muffins, quick breads",306,5.05,42.64,22.72,0.9,13.14,2.173,5.229,4.61,43
52408000,"Bread, Irish soda","Biscuits, muffins, quick breads",301,6.48,51.07,21.86,2.3,8.96,4.488,1.91,0.545,54
53100100,"Cake or cupcake, NFS",Cakes and pies,352,2.84,53.6,39.53,1.0,14.77,3.47,5.853,4.451,43
53101100,"Cake, angel food",Cakes and pies,257,6.1,58.7,30.51,0.2,0.3,0.043,0.026,0.124,0
53102200,"Cake or cupcake, apple",Cakes and pies,376,2.41,52.52,39.48,0.9,17.5,3.192,6.278,6.936,47
53102700,"Cake or cupcake, banana",Cakes and pies,379,2.47,53.07,39.6,1.0,17.51,3.2,6.281,6.938,47
53102800,"Cake or cupcake, Black Forest",Cakes and pies,228,3.49,31.32,18.26,1.7,10.66,3.719,3.75,2.298,55
53103000,"Cake, Boston cream pie",Cakes and pies,252,2.4,42.9,36.11,1.4,8.5,2.445,4.544,1.009,37
53104260,"Cake or cupcake, carrot",Cakes and pies,374,2.49,51.8,38.49,1.1,17.52,3.192,6.279,6.941,47
53104400,"Cake or cupcake, coconut",Cakes and pies,368,2.5,54.52,40.61,1.3,15.68,5.172,4.52,5.165,39
53104500,"Cheesecake, plain",Cakes and pies,399,5.29,34.82,26.64,0.5,26.52,14.371,5.671,1.947,114
53104550,"Cheesecake, fruit",Cakes and pies,387,4.8,38.23,28.83,0.6,23.88,12.935,5.108,1.752,103
53104600,"Cheesecake, chocolate",Cakes and pies,394,5.72,35.52,25.9,1.6,26.14,14.182,5.638,1.902,111
53105262,"Cake or cupcake, chocolate with white icing, bakery",Cakes and pies,355,2.79,54.36,40.23,1.2,14.58,2.975,4.965,5.742,43
53105264,"Cake or cupcake, chocolate with white icing, from mix",Cakes and pies,349,3.05,53.13,38.15,1.4,14.43,2.975,4.975,5.541,47
53105270,"Cake or cupcake, chocolate with chocolate icing, bakery",Cakes and pies,345,3.29,52.25,37.8,1.6,15.2,4.124,6.837,3.165,43
53105272,"Cake or cupcake, chocolate with chocolate icing, from mix",Cakes and pies,341,3.49,51.25,35.99,1.7,14.98,3.996,6.639,3.251,47
53105275,"Cake or cupcake, chocolate, no icing",Cakes and pies,303,5.08,43.28,21.52,2.3,13.24,2.976,5.051,3.934,79
53105300,"Cake or cupcake, German chocolate",Cakes and pies,360,3.7,49.94,34.72,2.4,17.6,5.612,7.21,3.645,43
53105310,"Cake or cupcake, gluten free",Cakes and pies,410,4.87,37.93,34.01,2.4,29.42,16.189,7.978,1.286,141
53105396,"Cake, chocolate, flourless",Cakes and pies,410,4.87,37.93,34.01,2.4,29.42,16.189,7.978,1.286,141
53106500,"Cake, cream",Cakes and pies,286,3.84,30.02,16.46,0.4,17.03,7.701,5.57,2.53,77
53108200,"Snack cake, chocolate",Cakes and pies,399,3.63,60.31,37.76,3.2,15.93,4.884,8.525,1.822,0
53109200,"Snack cake, white",Cakes and pies,374,3.47,64.03,37.3,1.0,11.54,4.139,4.906,1.86,41
53110000,"Cake, fruit cake",Cakes and pies,324,2.9,61.6,27.42,3.7,9.1,1.048,4.2,3.323,5
53111000,"Cake or cupcake, gingerbread",Cakes and pies,276,3.64,45.34,28.3,1.0,9.16,2.351,5.013,1.238,32
53112100,Ice cream cake,Cakes and pies,283,2.95,39.28,31.24,0.5,12.67,4.803,3.919,3.094,44
53113000,"Cake, jelly roll",Cakes and pies,285,3.14,64.54,41.99,0.8,1.52,0.446,0.539,0.246,56
53114100,"Cake or cupcake, lemon",Cakes and pies,339,2.42,51.9,38.23,0.4,13.53,2.669,4.627,5.34,43
53115200,"Cake or cupcake, marble",Cakes and pies,347,3.07,52.57,38.36,1.2,15.06,4.036,6.785,3.163,43
53115450,"Cake or cupcake, peanut butter",Cakes and pies,382,6.12,47.52,32.34,2.0,19.85,4.078,8.127,6.429,43
53116000,"Cake, pound",Cakes and pies,353,5.0,53.64,33.36,0.6,13.96,4.811,3.02,3.419,66
53116510,"Cake or cupcake, pumpkin",Cakes and pies,373,2.5,51.58,38.35,1.1,17.51,3.203,6.281,6.932,47
53116520,"Cake or cupcake, red velvet",Cakes and pies,355,2.79,54.36,40.23,1.2,14.58,2.975,4.965,5.742,43
53117200,"Cake or cupcake, spice",Cakes and pies,410,2.66,56.41,42.24,0.9,19.43,3.543,6.975,7.701,52
53118100,"Cake, sponge",Cakes and pies,290,5.4,61.0,36.66,0.5,2.7,0.802,0.949,0.448,102
53118110,"Cake or cupcake, strawberry",Cakes and pies,326,2.22,50.25,37.39,0.5,12.89,2.533,4.384,5.148,39
53118500,"Cake, torte",Cakes and pies,241,3.28,33.86,19.08,0.9,10.36,2.991,3.748,2.626,58
53118550,"Cake, tres leche",Cakes and pies,270,6.39,42.0,33.37,0.3,8.67,4.677,2.259,0.584,81
53119000,"Cake, pineapple, upside down",Cakes and pies,273,2.38,39.11,28.16,0.7,12.18,4.538,3.627,2.149,56
53120270,"Cake or cupcake, white with white icing, bakery",Cakes and pies,359,2.4,54.95,41.26,0.4,14.33,2.816,4.869,5.737,43
53120272,"Cake or cupcake, white with white icing, from mix",Cakes and pies,353,2.62,53.78,39.27,0.4,14.16,2.801,4.87,5.535,47
53121270,"Cake or cupcake, white with chocolate icing, bakery",Cakes and pies,349,2.9,52.84,38.83,0.8,14.95,3.964,6.741,3.16,43
53121272,"Cake or cupcake, white with chocolate icing, from mix",Cakes and pies,345,3.06,51.9,37.11,0.7,14.71,3.822,6.534,3.245,47
53121275,"Cake or cupcake, white, no icing",Cakes and pies,310,4.36,44.36,23.39,0.6,12.78,2.686,4.877,3.925,79
53123070,"Cake, strawberry shortcake",Cakes and pies,214,3.31,40.09,25.89,0.9,4.73,2.477,1.442,0.364,62
53124110,"Cake or cupcake, zucchini",Cakes and pies,371,2.52,51.08,38.27,0.9,17.52,3.197,6.279,6.94,47
53200100,"Cookie, batter or dough, raw",Cookies and brownies,435,4.97,54.47,29.24,0.9,22.45,4.326,10.452,6.597,47
53201000,"Cookie, NFS",Cookies and brownies,492,5.1,65.36,32.9,2.0,24.72,8.091,6.272,8.417,0
53202000,"Cookie, almond",Cookies and brownies,514,5.37,63.78,21.65,1.3,26.22,8.105,6.708,8.326,0
53203000,"Cookie, applesauce",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53203500,"Cookie, biscotti",Cookies and brownies,373,7.63,66.99,28.44,1.4,8.38,1.29,3.199,2.86,46
53204000,"Cookie, brownie, NS as to icing",Cookies and brownies,405,4.8,63.9,36.61,2.1,16.3,4.235,8.965,2.259,17
53204010,"Cookie, brownie, without icing",Cookies and brownies,405,4.8,63.9,36.61,2.1,16.3,4.235,8.965,2.259,17
53204100,"Cookie, brownie, with icing or filling",Cookies and brownies,401,2.94,63.55,47.22,1.5,16.95,4.885,8.993,2.242,8
53204840,"Cookie, brownie, reduced fat, NS as to icing",Cookies and brownies,345,2.77,61.58,38.73,11.1,9.68,2.766,3.432,2.581,0
53205250,"Cookie, butterscotch, brownie",Cookies and brownies,405,4.8,63.9,36.61,2.1,16.3,4.235,8.965,2.259,17
53205260,"Cookie, bar, with chocolate",Cookies and brownies,492,5.1,65.36,32.9,2.0,24.72,8.091,6.272,8.417,0
53206000,"Cookie, chocolate chip",Cookies and brownies,492,5.1,65.36,32.9,2.0,24.72,8.091,6.272,8.417,0
53206020,"Cookie, chocolate chip, made from home recipe or purchased at a bakery",Cookies and brownies,505,5.83,59.24,41.21,2.5,28.96,12.009,6.303,6.853,64
53206030,"Cookie, chocolate chip, reduced fat",Cookies and brownies,451,5.97,67.49,32.84,3.0,17.91,5.962,5.422,5.641,0
53206100,"Cookie, chocolate chip sandwich",Cookies and brownies,425,2.94,63.52,38.24,0.0,17.65,5.882,4.504,6.393,0
53206500,"Cookie, chocolate, made with rice cereal",Cookies and brownies,440,3.23,63.26,40.32,1.6,19.35,11.29,3.966,3.013,0
53206550,"Cookie, chocolate, made with oatmeal and coconut, no bake",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53207000,"Cookie, chocolate or fudge",Cookies and brownies,433,6.6,72.7,37.43,3.4,14.2,4.241,4.865,4.153,2
53208000,"Cookie, marshmallow, chocolate-covered",Cookies and brownies,421,4.0,67.7,44.8,2.0,16.9,4.722,9.345,1.943,0
53208200,"Cookie, marshmallow pie, chocolate covered",Cookies and brownies,421,4.0,67.7,44.8,2.0,16.9,4.722,9.345,1.943,0
53209005,"Cookie, chocolate, with icing or coating",Cookies and brownies,507,4.5,67.87,32.0,2.3,24.2,16.5,2.6,3.6,0
53209010,"Cookie, sugar wafer, chocolate-covered",Cookies and brownies,526,3.45,65.99,51.72,3.4,27.59,17.241,4.866,4.176,0
53209015,"Cookie, chocolate sandwich",Cookies and brownies,464,5.21,71.0,40.67,2.9,19.14,5.649,9.278,3.561,0
53209020,"Cookie, chocolate sandwich, reduced fat",Cookies and brownies,436,2.94,76.17,41.18,2.9,13.24,2.941,4.66,3.425,0
53209100,"Cookie, chocolate, sandwich, with extra filling",Cookies and brownies,497,4.33,68.2,46.0,2.7,24.52,5.454,16.076,2.471,0
53209500,"Cookie, chocolate and vanilla sandwich",Cookies and brownies,464,5.21,71.0,40.67,2.9,19.14,5.649,9.278,3.561,0
53210000,"Cookie, chocolate wafer",Cookies and brownies,433,6.6,72.7,37.43,3.4,14.2,4.241,4.865,4.153,2
53210900,"Cookie, graham cracker with chocolate and marshmallow",Cookies and brownies,465,6.36,68.97,43.87,2.8,18.57,9.964,4.486,2.455,12
53211000,"Cookie bar, with chocolate, nuts, and graham crackers",Cookies and brownies,492,5.1,65.36,32.9,2.0,24.72,8.091,6.272,8.417,0
53215500,"Cookie, coconut",Cookies and brownies,460,3.02,61.22,45.16,5.1,22.55,20.099,1.61,0.81,0
53220000,"Cookie, fruit-filled bar",Cookies and brownies,348,3.7,70.9,46.36,4.6,7.3,1.123,3.003,2.772,0
53220030,"Cookie, fig bar",Cookies and brownies,348,3.7,70.9,46.36,4.6,7.3,1.123,3.003,2.772,0
53222010,"Cookie, fortune",Cookies and brownies,378,4.2,84.0,45.42,1.6,2.7,0.669,1.345,0.466,2
53222020,"Cookie, cone shell, ice cream type, wafer or cake",Cookies and brownies,417,8.1,79.0,6.0,3.0,6.9,1.222,1.845,3.264,0
53223000,"Cookie, gingersnaps",Cookies and brownies,416,5.6,76.9,19.92,2.2,9.8,2.451,5.365,1.372,0
53223100,"Cookie, granola",Cookies and brownies,464,9.8,66.7,27.52,3.1,17.6,12.69,1.933,1.634,0
53224000,"Cookie, ladyfinger",Cookies and brownies,365,10.6,59.7,25.39,1.0,9.1,3.069,3.754,1.422,221
53224250,"Cookie, lemon bar",Cookies and brownies,437,5.13,62.65,42.07,0.8,18.94,3.753,8.688,5.443,75
53225000,"Cookie, macaroon",Cookies and brownies,460,3.02,61.22,45.16,5.1,22.55,20.099,1.61,0.81,0
53226000,"Cookie, marshmallow, with coconut",Cookies and brownies,421,4.0,67.7,44.8,2.0,16.9,4.722,9.345,1.943,0
53226500,"Cookie, marshmallow, with rice cereal, no bake",Cookies and brownies,417,3.4,80.5,19.36,0.0,9.0,1.4,2.5,5.1,0
53226550,"Cookie, marshmallow, with rice cereal and chocolate chips",Cookies and brownies,435,4.55,63.26,40.91,0.0,18.18,11.364,4.207,1.773,0
53226600,"Cookie, marshmallow and peanut butter, with oat cereal, no bake",Cookies and brownies,417,3.4,80.5,19.36,0.0,9.0,1.4,2.5,5.1,0
53228000,"Cookie, meringue",Cookies and brownies,350,5.66,81.3,80.58,0.0,0.26,0.0,0.0,0.0,0
53230000,"Cookie, molasses",Cookies and brownies,430,5.6,73.8,17.6,1.0,12.8,3.212,7.13,1.729,0
53231000,"Cookie, Lebkuchen",Cookies and brownies,430,5.6,73.8,17.6,1.0,12.8,3.212,7.13,1.729,0
53231400,"Cookie, multigrain, high fiber",Cookies and brownies,464,9.8,66.7,27.52,3.1,17.6,12.69,1.933,1.634,0
53233000,"Cookie, oatmeal",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53233010,"Cookie, oatmeal, with raisins",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53233040,"Cookie, oatmeal, reduced fat, NS as to raisins",Cookies and brownies,365,4.02,64.62,32.14,16.1,10.04,4.09,3.332,2.269,20
53233050,"Cookie, oatmeal sandwich, with creme filling",Cookies and brownies,398,2.61,55.62,31.36,2.6,18.29,5.226,4.53,7.434,0
53233060,"Cookie, oatmeal, with chocolate chips",Cookies and brownies,457,5.72,67.56,31.74,3.5,20.92,7.659,10.011,2.169,0
53233080,"Cookie, oatmeal sandwich, with peanut butter and jelly filling",Cookies and brownies,398,2.61,55.62,31.36,2.6,18.29,5.226,4.53,7.434,0
53233100,"Cookie, oatmeal, with chocolate and peanut butter, no bake",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53234000,"Cookie, peanut butter",Cookies and brownies,473,8.92,58.15,28.58,2.1,23.82,6.751,10.8,3.61,27
53234100,"Cookie, peanut butter, with chocolate",Cookies and brownies,475,7.8,59.51,34.73,3.0,25.29,9.361,10.602,2.983,21
53234250,"Cookie, peanut butter with rice cereal, no bake",Cookies and brownies,417,3.4,80.5,19.36,0.0,9.0,1.4,2.5,5.1,0
53235000,"Cookie, peanut butter sandwich",Cookies and brownies,478,8.8,65.6,35.44,1.9,21.1,4.995,11.191,3.795,0
53235500,"Cookie, with peanut butter filling, chocolate-coated",Cookies and brownies,562,8.1,52.9,30.9,3.5,35.3,19.2,8.4,6.3,0
53235600,"Cookie, Pfeffernusse",Cookies and brownies,514,5.37,63.78,21.65,1.3,26.22,8.105,6.708,8.326,0
53236000,"Cookie, Pizzelle",Cookies and brownies,417,8.1,79.0,6.0,3.0,6.9,1.222,1.845,3.264,0
53236100,"Cookie, pumpkin",Cookies and brownies,450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0
53237000,"Cookie, raisin",Cookies and brownies,401,4.1,68.0,47.56,1.2,13.6,3.46,7.649,1.756,2
53237010,"Cookie, raisin sandwich, cream-filled",Cookies and brownies,398,2.61,55.62,31.36,2.6,18.29,5.226,4.53,7.434,0
53237500,"Cookie, rum ball, no bake",Cookies and brownies,514,5.37,63.78,21.65,1.3,26.22,8.105,6.708,8.326,0
53238000,"Cookie, sandwich-type, not chocolate or vanilla",Cookies and brownies,483,4.5,72.1,39.3,1.5,20.0,2.979,8.437,7.551,0
53239000,"Cookie, shortbread",Cookies and brownies,514,5.37,63.78,21.65,1.3,26.22,8.105,6.708,8.326,0
53239010,"Cookie, shortbread, reduced fat",Cookies and brownies,451,5.37,75.99,21.65,1.3,14.0,4.694,3.13,6.057,0
53239050,"Cookie, shortbread, with icing or filling",Cookies and brownies,515,5.05,62.6,27.34,2.1,28.31,10.214,7.963,7.333,0
53239100,Pocky,Cookies and brownies,447,10.0,51.08,25.0,5.0,22.5,12.584,2.065,6.717,0
53240000,"Cookie, animal",Cookies and brownies,446,6.9,74.1,23.3,1.1,13.8,3.463,7.666,1.873,0
53240010,"Cookie, animal, with frosting or icing",Cookies and brownies,509,3.0,70.09,41.1,0.9,24.1,16.2,2.4,4.5,0
53241500,"Cookie, butter or sugar",Cookies and brownies,464,5.35,67.34,27.31,1.3,19.55,7.666,6.971,3.746,12
53241510,Marie biscuit,Cookies and brownies,406,7.05,70.54,21.16,3.5,10.58,5.291,2.694,1.67,0
53241600,"Cookie, butter or sugar, with fruit and/or nuts",Cookies and brownies,470,6.52,65.01,23.97,1.6,21.11,9.321,5.237,5.136,93
53242000,"Cookie, sugar wafer",Cookies and brownies,502,3.84,70.64,42.95,1.6,23.24,11.899,7.697,2.651,0
53242500,"Cookie, toffee bar",Cookies and brownies,492,5.1,65.36,32.9,2.0,24.72,8.091,6.272,8.417,0
53243000,"Cookie, vanilla sandwich",Cookies and brownies,483,4.5,72.1,39.3,1.5,20.0,2.979,8.437,7.551,0
53243010,"Cookie, vanilla sandwich, extra filling",Cookies and brownies,497,4.33,68.2,46.0,2.7,24.52,5.454,16.076,2.471,0
53243050,"Cookie, vanilla sandwich, reduced fat",Cookies and brownies,423,4.17,78.16,37.5,2.1,10.42,3.175,5.602,1.118,0
53244010,"Cookie, butter or sugar, with chocolate icing or filling",Cookies and brownies,503,4.1,68.83,33.8,1.9,23.5,14.8,2.7,5.1,1
53244020,"Cookie, butter or sugar, with icing or filling other than chocolate",Cookies and brownies,433,3.38,72.7,45.92,0.4,14.93,6.9,4.76,2.445,63
53246000,"Cookie, tea, Japanese",Cookies and brownies,378,4.2,84.0,45.42,1.6,2.7,0.669,1.345,0.466,2
53247000,"Cookie, vanilla wafer",Cookies and brownies,455,4.9,72.6,35.07,1.6,16.41,4.245,4.451,6.738,9
53247050,"Cookie, vanilla wafer, reduced fat",Cookies and brownies,441,5.0,73.6,37.5,1.9,15.2,3.838,6.544,3.887,51
53247500,"Cookie, vanilla with caramel, coconut, and chocolate coating",Cookies and brownies,489,3.5,64.1,35.8,4.4,25.8,17.7,2.8,3.7,2
53251100,"Cookie, rugelach",Cookies and brownies,348,3.7,70.9,46.36,4.6,7.3,1.123,3.003,2.772,0
53260030,"Cookie, chocolate chip, reduced sugar",Cookies and brownies,450,3.9,73.4,39.81,1.6,16.8,4.183,6.73,5.035,0
53260200,"Cookie, oatmeal, reduced sugar",Cookies and brownies,449,4.8,69.9,31.65,2.9,18.0,2.693,7.55,6.784,0
53260300,"Cookie, sandwich, reduced sugar",Cookies and brownies,461,4.5,68.0,19.73,4.1,22.1,3.992,9.207,7.919,0
53260400,"Cookie, sugar or plain, sugar free",Cookies and brownies,523,10.34,50.52,0.0,3.4,31.03,8.621,7.735,11.486,17
53260500,"Cookie, sugar wafer, sugar free",Cookies and brownies,531,3.57,66.26,0.0,14.3,28.57,4.257,12.137,10.748,0
53260600,"Cookie, peanut butter, sugar free",Cookies and brownies,523,10.34,50.52,0.0,3.4,31.03,8.621,7.735,11.486,17
53261000,"Cookie, gluten free",Cookies and brownies,474,2.19,76.03,49.0,2.5,17.89,7.905,6.142,1.807,0
53270100,"Cookies, Puerto Rican style",Cookies and brownies,506,6.32,67.94,23.31,1.6,23.2,8.82,10.095,2.734,21
53300100,"Pie, NFS",Cakes and pies,296,2.7,37.55,15.92,1.8,15.28,5.34,6.417,2.028,7
53300200,"Tart, all types",Cakes and pies,316,3.0,42.6,21.4,2.6,16.1,2.457,7.449,5.376,0
53301000,"Pie, apple",Cakes and pies,296,2.7,37.55,15.92,1.8,15.28,5.34,6.417,2.028,7
53301070,"Pie, apple, fast food",Cakes and pies,316,3.0,42.6,21.4,2.6,16.1,2.457,7.449,5.376,0
53303500,"Pie, berry",Cakes and pies,306,3.16,39.53,16.49,3.6,15.43,5.343,6.435,2.132,7
53304000,"Pie, blueberry",Cakes and pies,300,2.82,37.95,15.49,2.5,15.52,5.36,6.457,2.147,7
53305000,"Pie, cherry",Cakes and pies,311,2.95,40.93,19.53,1.9,15.3,5.348,6.43,2.037,7
53305700,"Pie, lemon",Cakes and pies,280,2.41,31.48,18.42,0.7,16.16,7.363,5.462,1.142,26
53305800,"Pie, key lime",Cakes and pies,322,5.78,42.16,35.88,0.3,14.92,7.594,4.997,0.639,39
53307000,"Pie, peach",Cakes and pies,296,2.83,37.11,15.69,1.9,15.28,5.341,6.425,2.039,7
53312000,"Pie, strawberry",Cakes and pies,289,2.88,44.22,22.59,2.2,11.6,3.718,5.443,1.492,0
53341000,"Pie, banana cream",Cakes and pies,284,2.42,32.35,19.13,0.7,16.17,7.367,5.463,1.145,26
53342000,"Pie, chocolate cream",Cakes and pies,291,2.75,32.51,19.28,0.7,16.71,7.524,5.776,1.153,26
53343000,"Pie, coconut cream",Cakes and pies,297,2.55,31.96,18.66,1.1,17.83,8.847,5.533,1.159,26
53344000,"Pie, custard",Cakes and pies,210,5.5,20.8,11.58,1.6,11.6,2.349,4.797,3.723,33
53344300,Dessert pizza,Cakes and pies,204,1.84,32.38,15.75,1.7,7.53,1.845,4.598,0.535,3
53346000,"Pie, peanut butter cream",Cakes and pies,421,5.92,33.09,21.71,1.1,30.13,12.618,10.862,2.98,51
53346500,"Pie, pineapple cream",Cakes and pies,274,2.36,31.18,18.64,0.7,15.57,7.06,5.311,1.092,25
53347000,"Pie, pumpkin",Cakes and pies,249,4.76,36.34,24.55,1.7,9.78,4.107,3.776,0.967,47
53360000,"Pie, sweet potato",Cakes and pies,269,4.96,41.08,25.16,1.3,9.75,4.069,3.765,0.992,47
53365000,"Pie, vanilla cream",Cakes and pies,286,2.46,32.33,19.19,0.7,16.34,7.413,5.576,1.145,26
53381000,"Pie, lemon meringue",Cakes and pies,294,4.53,43.69,26.43,1.1,11.34,3.649,5.132,1.517,79
53385000,"Pie, pecan",Cakes and pies,449,6.02,49.46,31.01,1.9,25.25,6.376,11.525,4.949,89
53385500,"Pie, oatmeal",Cakes and pies,396,6.14,56.92,32.08,2.2,16.02,5.827,6.317,1.941,93
53391000,Pie shell,Cakes and pies,508,6.5,56.24,4.23,3.3,28.59,9.277,13.562,3.568,0
53391100,"Pie shell, graham cracker",Cakes and pies,501,5.1,64.3,18.13,1.9,24.83,4.999,16.928,1.671,0
53410100,"Cobbler, apple",Cakes and pies,217,2.05,33.56,16.87,1.6,8.66,2.785,4.066,1.078,0
53410300,"Cobbler, berry",Cakes and pies,231,2.66,36.2,17.63,4.0,8.86,2.789,4.089,1.216,0
53410500,"Cobbler, cherry",Cakes and pies,237,2.37,38.07,21.68,1.8,8.69,2.796,4.083,1.09,0
53410800,"Cobbler, peach",Cakes and pies,217,2.22,32.98,16.57,1.7,8.66,2.788,4.077,1.092,0
53415100,"Crisp, apple",Cakes and pies,215,2.81,30.18,15.82,2.7,9.59,4.772,2.081,0.718,23
53415110,"Fritter, plain","Doughnuts, sweet rolls, pastries",378,6.56,27.46,2.06,0.9,26.93,5.577,10.274,8.586,67
53415120,"Fritter, fruit","Doughnuts, sweet rolls, pastries",403,6.3,37.29,12.44,1.2,25.59,5.292,9.737,8.147,63
53415300,"Crisp, berry",Cakes and pies,228,3.41,32.81,16.59,5.0,9.78,4.777,2.104,0.856,23
